,Ballot Submission,,,,,,,,,,,,,,,,,,Triage & Committee Resolution,,,,,,,,,,,,,,,,Ballot Comment Tracking,,,,,,,
48,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/valueset-daf-core-substance.html,NEG,Enhancement,,,Import all the codes that are contained in http://hl7.org/fhir/us/daf/ValueSet/daf-core-substance-rxnorm,"Import all the codes that are contained in http://hl7.org/fhir/us/daf/ValueSet/daf-core-substance-rxnorm with term types 'BN' Brand Name, 'IN' ingredient name, 'MIN' multiple ingredient, and 'PIN' precise ingredient for drug ingredient allergies.",,Update substance value set,,Ready-for-Vote,,,FHIR Infrastructure,Persuasive,Will update,,,,,,,,,,,Hans Buitendijk ,,Hans Buitendijk ,,,,,
49,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-location.html,A-T,,,,organizatino,organization,,Typo,,_Typo,,,FHIR Infrastructure,Persuasive,Auto-approved,,,,,,,,,,,Hans Buitendijk ,,Hans Buitendijk ,,,,,
50,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-resultobs.html,A-S,Enhancement,,,,,"DiagnosticReport and Observation categories are expressed differently.  For DiagnosticReport the abbreviation is used (LAB), while for Observation the name is used (laboratory).  We should get consistent in using one or the other in these value sets.",Consistency in DiagnosticReport and Observation Category,,F,,,Orders & Observations,,,,,,,,,,,,,Hans Buitendijk ,,Hans Buitendijk ,,,,,
51,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/conformance-daf-query-responder.html,NEG,Clarification,,,,,"Why is XML AND JSON required? Most servers at least implement JSON, add XML as a should",XML and JSON requirements,,D,,,FHIR Infrastructure,,,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
52,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/conformance-daf-query-responder.html,NEG,Enhancement,,,,,"Lists both MedStatement, MedOrder as required, but Argonaut stated at least 1 med* resource was required (I think most did MedStatement)",Conformance requirement of MedicationStatement and MedicaitonOrder,,D,,,FHIR Infrastructure,,,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
53,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/conformance-daf-query-responder.html,NEG,Clarification,,,,,"Why require _lastUpdated, _profile, _count, and _include for every resource? EG: Some resources don't really require paging.",Review query responder requirements search paramaters,,Ready-for-Vote,,,FHIR Infrastructure,Persuasive with mod,Will remove broad requirement that these are supported by all resources. Will add some parameters to specific resource requirements.,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
54,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/conformance-daf-query-responder.html,NEG,Clarification,,,,,Why require all modifiers for a datatype? EG: not for patient?,Review query responder use of modifiers,,Ready-for-Vote,,,FHIR Infrastructure,Persuasive with mod,Will remove broad requirement that these are supported by all resources. Will add some parameters to specific resource requirements.,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
55,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/conformance-daf-query-responder.html,NEG,Clarification,,,,,"Why require the everything operation? The ""all data"" request is required to be in CCDA-R2 format, not a FHIR bundle (also, everything includes much more than CCDS). I would expect this to use DocumentReference like Argonaut proposed",Review requirement for $everything.,,Ready-for-Vote,,,FHIR Infrastructure,Persuasive with mod,Will remove.,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
56,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/daf-core-patient.html,NEG,Enhancement,,,,,"Reference newer complex race/ethnicity extensions (also, the race extension isn't referenced by the profile directly)",Update reference to new complex race/ethnicity extensions,,Ready-for-Vote,,,FHIR Infrastructure,Persuasive,Will update,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
57,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/daf-core-patient.html,NEG,Enhancement,,,,,"Overview mentions querying by race, ethnicity, etc and other parameters not listed as must support for patient (which also seems to better fit research cases)",Remove requirement for race and ethnicity query,,Ready-for-Vote,,,FHIR Infrastructure,Persuasive,Will remove,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
58,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/daf-core-allergyintolerance.html,NEG,Enhancement,,,,,"usage mentions querying for all patients with a specific allergy, but query params required for this aren't part of the responder reqs (also, this seems to better fit research cases)",query requirements for allergies too broad,,Ready-for-Vote,,,FHIR Infrastructure,Persuasive,Will remove,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
59,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/daf-core-careteam.html,NEG,Enhancement,,,,,"usage mentions querying for all patients w/a particular careTeam, but query params required for this aren't part of the responder reqs (and this doesn't seem to fit the CCDS use case)",query requirements for careTeam too broad,,Ready-for-Vote,,,FHIR Infrastructure,Persuasive,Will remove,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
60,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/daf-core-condition.html,NEG,Enhancement,,,,,"usage mentions querying for all patients w/a particular condition, but query params required for this aren't part of the responder reqs (and this doesn't seem to fit the CCDS use case)",query requirements for condition too broad,,Ready-for-Vote,,,FHIR Infrastructure,Persuasive,Will remove,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
61,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/daf-core-condition.html,NEG,Enhancement,,,,,category - should be required,require condition category,,Ready-for-Vote,,,FHIR Infrastructure,Persuasive,Will update,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
62,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/daf-core-device.html,NEG,Enhancement,,,,,"usage mentions querying for patients w/a particular type of device, but query params required for this aren't part of the responder reqs (and this doesn't seem to fit the CCDS use case). Additionally, curions about the query by UDI, which isn't defined as required for responders.",query requirements for device too broad,,Ready-for-Vote,,,FHIR Infrastructure,Persuasive,Will remove,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
63,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/daf-core-immunization.html,NEG,Enhancement,,,,,"usage mentions querying for patients w/a particular vaccine, but query params required for this aren't part of the responder reqs (and this doen't seem to fit the CCDS use case).",query requirements for vaccine too broad,,Ready-for-Vote,,,FHIR Infrastructure,Persuasive,Will remove,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
64,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/daf-core-diagnosticreport.html,NEG,Enhancement,,,,,"usage mentions querying for all patients w/a specific test result and by a specific provider, but query params required for this aren't part of the responder reqs (and this doesn't seem to fit the CCDS use case).",query requirements for test result too broad,,Ready-for-Vote,,,FHIR Infrastructure,Persuasive,Will remove,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
65,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/daf-core-diagnosticreport.html,NEG,Enhancement,,,,,Why require a reference to observation? What if the report was purely textual/report/fax?,Relax DiagnosticReport reference to observation,,D,,,FHIR Infrastructure,,,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
66,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/daf-core-diagnosticreport.html,NEG,Enhancement,,,,,"Why is performer required as a reference? We do not always know the originating performer, eg, if something is faxed or interfaced without that information. We do fill out the description, but will have no link to an org or practitioner for these.",Remove Performaer reference requirment in DiagnosticReport,,D,,,FHIR Infrastructure,,Will update to 0..1,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
67,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/daf-core-resultobs.html,NEG,Enhancement,,,,,"usage mentions querying for all patients with a particular lab or reference range, but query params required for this aren't part of the responder reqs (and this doesn't seem to fit the CCDS use case).",query requirements too broad,,Ready-for-Vote,,,FHIR Infrastructure,Persuasive,Will remove,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
68,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/daf-core-resultobs.html,NEG,Enhancement,,,,,"code.coding (and all underlying fields) are listed as required, but not all labs can be coded with a loinc (eg ""freetext""). code should be required, but systems should still be able to respond with ""freetext"" labs and other data that hasn't been mapped",Allow free text on resultobs,,D,,,FHIR Infrastructure,Persuasive with mod,Will update to extensible,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
69,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/daf-core-medication.html,NEG,Enhancement,,,,,"Why is this required? Argonaut landed on using codeableConcept, contained, or requiring _include support for Medication.",Relax medication resource requirement,,D,,,FHIR Infrastructure,,,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
70,Data Access Framework (DAF),,,,,,,(profiles),,NEG,,10715,,,,,,,,,,,,,,,,,,,,,,,Michelle Miller ,,Michelle Miller ,,,,,
71,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/daf-core-medicationstatement.html,NEG,Clarification,,,,,effective[x] is required but we often don't know this (especially with patient reported meds). We would know when it was asserted.  This was supposed to change within Argonaut IG per https://github.com/argonautproject/implementation-program/issues/50,Review effectiveTime on MedicationStatement,,D,,,FHIR Infrastructure,,,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
72,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/daf-core-medicationorder.html,NEG,Enhancement,,,,,"usage mentions querying for all patients on a specific med or taking it within a specific time frame, but query params required for this aren't part of the responder reqs (and this doesn't seem to fit the CCDS use case)",query requirements too broad,,Ready-for-Vote,,,FHIR Infrastructure,Persuasive,Will remove,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
73,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/daf-core-smokingstatus.html,NEG,Enhancement,,,,,"usage mentions multiple example of ""querying for all patients with..."", but query params required for this aren't part of the responder reqs (and this doesn't seem to fit the CCDS use case)",query requirements too broad,,Ready-for-Vote,,,FHIR Infrastructure,Persuasive,Will remove,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
74,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/daf-core-vitalsigns.html,NEG,Enhancement,,,,,usage mentions querying for all patients with a particular vital but query params required for this aren't part of the responder reqs (and this doesn't seem to fit the CCDS use case),query requirements too broad,,Ready-for-Vote,,,FHIR Infrastructure,Persuasive,Will remove,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
75,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/daf-core-vitalsigns.html,NEG,Enhancement,,,,,"Is profile intended only to cover the vitals listed by loinc? Normally, systems would return other vitals outside that list (if queried by category vital-signs). If this occurs, the code.code, valueQuantity, etc may not make sense to be required for those values (they may be string or not have a mappable loinc)",Relax requirement for coded valueQuantity,,,,,FHIR Infrastructure,,,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
76,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/daf-core-vitalsigns.html,NEG,Clarification,,,,,"This phrase in item #7 is confusing: ""When using a panel code to group component... "" - I thought components were *not* supposed to be used for panels (eg: CBC)?",Review component use in Vital Signs,,Ready-for-Vote,,,FHIR Infrastructure,Persuasive with mod,Will update to make clear only intended for blood pressure,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
77,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/daf-core-vitalsigns.html,NEG,Clarification,,,,,Should this be replaced by the hl7 vitals profile?,Relationship of DAF-core vs HL7 vitals,,D,,,FHIR Infrastructure,,,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
78,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/daf-core-organization.html,NEG,Enhancement,,,,,"usage mentions querying for observations by address, phone, and name, but these query params are not part of the responder reqs (and this doesn't seem to fit the CCDS use case)",query requirements too broad,,D,,,FHIR Infrastructure,Not persuasive,These are example usage scenarios appropriate for Provider Directory type queries. These are not required in the DAF conformance resoruce,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
79,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/daf-core-organization.html,NEG,Enhancement,,,,,"Organization does not have a status field, and DAF is actually referring to the ""active"" field when it states it's required - reword for clarity?",Review organizatoin status,,Ready-for-Vote,,,FHIR Infrastructure,Persuasive with mod,Will reword to make clear active is element and is boolean.,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
80,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/daf-core-pract.html,NEG,Enhancement,,,,,"usage mentions querying for practitioners by many things, none of which are included in the responder reqs (and this doesn't seem to fit the CCDS use case)",query requirements too broad,,D,,,FHIR Infrastructure,Not persuasive,These are example usage scenarios appropriate for Provider Directory type queries. These are not required in the DAF conformance resoruce,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
81,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/daf-core-pract.html,NEG,Clarification,,,,,role being replaced with practitionerRole?,Review practitionerRole vs role,,Ready-for-Vote,,,FHIR Infrastructure,Persuasive with mod,"This is under discussion in PA, we will adjust based on their decision",,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
82,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/daf-core-procedure.html,NEG,Enhancement,,,,,usage mentions querying for all patients with a specific procedure or procedure within a specific time frame but these query params are not part of the responder reqs (and this doesn't seem to fit the CCDS use case),query requirements too broad,,Ready-for-Vote,,,FHIR Infrastructure,Persuasive,Will remove,,,,,,,,,,,Jenni Syed ,,Jenni Syed ,,,,,
83,Data Access Framework (DAF),,,,,,,(profiles),,NEG,,10612,,,,,,,,,,,,,,,,,,,,,,,Michelle Miller ,,Michelle Miller ,,,,,
84,Data Access Framework (DAF),,,,,,,(profiles),,NEG,,10705,,,,,,,,,,,,,,,,,,,,,,,Michelle Miller ,,Michelle Miller ,,,,,
85,Data Access Framework (DAF),,,,,,,(profiles),,NEG,,10708,,,,,,,,,,,,,,,,,,,,,,,Michelle Miller ,,Michelle Miller ,,,,,
86,Data Access Framework (DAF),,,,,,,(profiles),,NEG,,10715,,,,,,,,,,,,,,,,,,,,,,,Michelle Miller ,,Michelle Miller ,,,,,
87,Data Access Framework (DAF),,,,,,,(profiles),,NEG,,10721,,,,,,,,,,,,,,,,,,,,,,,Michelle Miller ,,Michelle Miller ,,,,,
88,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core.html,NEG,Clarification,,,"In situations where information on a particular data element is not present and the reason for absence is unknown, DAF Responders SHALL NOT include the data elements in the resource instance returned as part of the query results.",,"Since NullFlavors can handle this, why send nothing?  Should be able to send a NullFlavor indicating “Unknown”.",Review langauge for sending unknown data,,Ready-for-Vote,,,FHIR Infrastructure,Persuasive,Will update to state use appropriate nullFlavor when available in a value set.,,,,,,,,,,,Hans Buitendijk ,,Hans Buitendijk ,,,,,
89,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core.html,NEG,Clarification,,,,,"There are a number of resources (e.g., location, organization) that are not called out specifically in Argonaut.  While referenced in other resources, they are not individually called out.  These should be marked as not part of CCDS-on-FHIR to the extent that capabilities are directly referencing those resources.",Review scope of DAF-core,,Ready-for-Vote,,,FHIR Infrastructure,Not persuasive,"In prior DAF ballots, commenters requested we never allow a reference to a resource without profiling

'Light' profiles were created when resource references were necessary.
",,,,,,,,,,,Hans Buitendijk ,,Hans Buitendijk ,,,,,
90,Data Access Framework (DAF),,,,,,,(profiles),,NEG,,10732,,,,,,,,,,,,,,,,,,,,,,,Michelle Miller ,,Michelle Miller ,,,,,
91,Data Access Framework (DAF),,DAF Core Security,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-security.html,A-S,Clarification,,,"Systems SHALL implement consent requirements per their state, local, and institutional policies. The Business Associate Agreements SHOULD document systems mutual consent requirements. DAF actors SHALL ensure that any necessary consent records exist and are reviewed prior to each exchange of patient-identifiable healthcare information. This verification should be logged in the same manner as other transactions, as discussed above under General Security Considerations.","Systems SHALL implement consent requirements per their state, local, and institutional policies. The Business Associate Agreements SHOULD document systems mutual consent requirements. DAF actors SHALL ensure that any necessary FHIR Consent records exist and are reviewed prior to each exchange of patient-identifiable healthcare information. This verification should be logged in the same manner as other transactions, as discussed above under General Security Considerations.  ",Recognize the existence of the FHIR Consent Resource ,Recognize the existence of the FHIR Consent Resource ,,,,,FHIR Infrastructure,,,,,,,,,,,,,Jamie Parker ,ESAC ,Glen Marshall  ,gfm@securityrs.com      ,,,,
92,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/conformance-daf-query-responder.html,NEG,Correction,,,,,"""See also the XML or JSON format"" both XML and JSON format conformance resources are missing.",Fix conformance links.,,,,,FHIR Infrastructure,,,,,,,,,,,,,Jamie Parker ,ESAC ,Douglas Andrew Harley ,douglas.andrew.harley@gmail.com ,,,,
93,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/conformance-daf-query-responder.html,A-Q,Correction,,,,,FHIR Version: $ver$,Versions are not set,,,,,FHIR Infrastructure,,,,,,,,,,,,,Jamie Parker ,ESAC ,Douglas Andrew Harley ,douglas.andrew.harley@gmail.com ,,,,
94,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/conformance-daf-query-requestor.html,NEG,Correction,,,,,"""See also the XML or JSON format"" both XML and JSON format conformance resources are missing.",Fix conformance links.,,,,,FHIR Infrastructure,,,,,,,,,,,,,Jamie Parker ,ESAC ,Douglas Andrew Harley ,douglas.andrew.harley@gmail.com ,,,,
95,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-patient-example-json.html,A-T,Correction,,,,need to add the meta element and profile child element,,Need to add the meta element and profile child element,,_Typo,,,FHIR Infrastructure,Persuasive,Auto-approved,,,,,,,,,,,Jamie Parker ,ESAC ,Douglas Andrew Harley ,douglas.andrew.harley@gmail.com ,,,,
96,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/conformance-daf-query-responder.html,A-T,Correction,,,,,"in Resource(Profile Name) ""DAF"" should be ""daf"" to be consistent with actual profile name.",Consistency of DAF vs daf,,,,,FHIR Infrastructure,,,,,,,,,,,,,Jamie Parker ,ESAC ,Douglas Andrew Harley ,douglas.andrew.harley@gmail.com ,,,,
97,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/conformance-daf-query-responder.html#DAFAllergyIntoleranceRequestSearch,NEG,Correction,,,,,"in RESTful Operations Summary table, only the SEARCH column links work",Fix links,,,,,FHIR Infrastructure,,,,,,,,,,,,,Jamie Parker ,ESAC ,Douglas Andrew Harley ,douglas.andrew.harley@gmail.com ,,,,
98,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/conformance-daf-query-responder.html#DAFPatientSearch,A-T,Correction,,,,,"in ""DAF-core-diagnosticreport (Laboratory DiagnosticReport)"" row, last parameter list item should be changed to ""patient and category and code and date""",Update Paramters,,_Typo,,,FHIR Infrastructure,Persuasive,Auto-approved,,,,,,,,,,,Jamie Parker ,ESAC ,Douglas Andrew Harley ,douglas.andrew.harley@gmail.com ,,,,
99,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core.html,A-T,Correction,,,,,"Profile names are incorrect under ""DAF Core Profiles"" section",Review profile names,,_Typo,,,FHIR Infrastructure,Persuasive,Auto-approved,,,,,,,,,,,Jamie Parker ,ESAC ,Douglas Andrew Harley ,douglas.andrew.harley@gmail.com ,,,,
100,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/conformance-daf-query-responder.html,A-Q,Clarification,,,,,"do you really mean Patient/$everything? that will pull all data for all patients. or do you mean Patient/[id]$everything? maybe both? this needs clarification.

Whether requiring pull all data for all patients or do you mean Patient/[id]$everything? maybe both?","Need clarification on ""Patient/$everything?""  ",,,,,FHIR Infrastructure,,,,,,,,,,,,,Jamie Parker ,ESAC ,Douglas Andrew Harley ,douglas.andrew.harley@gmail.com ,,,,
101,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-security.html,A-S,Clarification,,,"Systems SHALL use the AuditEvent resource to capture audit logs of the various transactions. Systems SHOULD capture as many AuditEvent resource data elements as appropriate based on local policies. The following events SHOULD trigger an audit event:
Every successful and unsuccessful Resource Request (GET, READ, vREAD etc.)and corresponding Response.
Every Authentication and Authorization request
Security decisions related to consent, digital signatures, data release and security labelling of returned resources",,"Reading this, its unclear which AuditEvents are required. I understand that ""Systems SHALL use the AuditEvent resource"" but then I only see suggestions (""SHOULD"") as to its use. It would be nice to clarify a minimum set of requirements or change the language to ""Systems SHOULD use the AuditEvent resource"" if infect there are no required AuditEvents. ",Clarification on required AuditEvents,,,,,FHIR Infrastructure,,,,,,,,,,,,,Jamie Parker ,ESAC ,Hugh Gordon ,hugh@akidolabs.com ,,,,
102,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-security.html,A-S,Enhancement,,,"For Authentication and Authorization, Systems SHALL use the Smart On FHIR  OAuth2 profiles. NOTE: The Smart On FHIR specifications include the required OAuth2 scopes for enabling security decisions.",,I don't believe that the majority of Health Systems have OAuth implemented at all. It will be difficult to follow this in the real world where most things are secured via firewall and (maybe) a simple HTTP Authorization Header or something similar. It would be a shame if Health Systems failed to implement Authentication and Authorization measures because the bar that OAuth sets is too high. ,Oauth is a bit heavy weight,,,,,FHIR Infrastructure,,,,,,,,,,,,,Jamie Parker ,ESAC ,Hugh Gordon ,hugh@akidolabs.com ,,,,
103,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-task.html,A-S,Clarification,,,"Task.priority	TaskPriority	required	TaskPriority",,"The TaskPriority is marked as a required resource under ""D.4.1.2 Terminology Bindings"" It then has a ""Missing if Meaning"" (default value?) of normal. It is not clear why the priority is required or if it is indeed required as it has a default value specified. If it is required, what is the expected behavior on systems that do not support task prioritization? ",Why is TaskPriority required?,,,,,FHIR Infrastructure,,,,,,,,,,,,,Jamie Parker ,ESAC ,Hugh Gordon ,hugh@akidolabs.com ,,,,
104,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf.html,A-S,Clarification,,,The conformance table at the bottom of the page,,There is no DAF-Observation for lab values listed here or in the daf-core.html document. However there is a DAF-Observation for lab values listed here:  http://hl7.org/FHIR/us/daf/2016Sep/daf-research-developer.html  Are the Observation Lab values included in just the research portion of DAF? Its unclear why they are missing from the daf core. ,Missing Lab Values,,,,,FHIR Infrastructure,,,,,,,,,,,,,Jamie Parker ,ESAC ,Hugh Gordon ,hugh@akidolabs.com ,,,,
105,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/us/daf/2016Sep/conformance-daf-query-requestor.html,A-T,Correction,,,This is the narrative for the resource. See also the XML or JSON format.,"Use the existing wording, but change the link for XML to http://hl7.org/fhir/us/daf/2016Sep/Conformance-conformance-daf-query-requestor.xml.html instead of http://hl7.org/fhir/us/daf/2016Sep/conformance-daf-query-requestor.xml.html and the link for JSON to http://hl7.org/fhir/us/daf/2016Sep/Conformance-conformance-daf-query-requestor.json.html instead of http://hl7.org/fhir/us/daf/2016Sep/conformance-daf-query-requestor.json.html.","The links associated with the XML and JSON examples return a 404 File Not Found error.
--
Update the XML and JSON links to the correct links, which do not return a 404 File Not Found error.",Update broken links,,_Typo,,,FHIR Infrastructure,Persuasive,Auto-approved,,,,,,,,,,,Jamie Parker ,ESAC ,Elizabeth So ,Elizabeth.So@esacinc.com ,,,,
106,Data Access Framework (DAF),,,,,,,(profiles),"http://hl7.org/fhir/us/daf/2016Sep/conformance-daf-query-requestor.html, http://hl7.org/fhir/us/daf/2016Sep/conformance-daf-query-responder.html",A-T,Correction,,,"The hyperlinks for the interactions (Search, Read, Version Read, Instance History) in the RESTful Operations Summary table are for interactions of a ValueSet resource, rather than a generic interaction (https://www.hl7.org/fhir/valueset-restful-interaction.html).","Change the hyperlinks for the interactions (Search, Read, Version Read, Instance History) in the RESTful Operations Summary table to the correct links or remove the hyperlinks.",The contents of the RESTful Operations Summary table have incorrect hyperlinks.,Update the contents within the RESTful Operations Summary table ,,_Typo,,,FHIR Infrastructure,Persuasive,Auto-approved,,,,,,,,,,,Jamie Parker ,ESAC ,Elizabeth So ,Elizabeth.So@esacinc.com ,,,,
107,Data Access Framework (DAF),,All,,,,,(profiles),,NEG,Enhancement,,,,,"This ballot removed the following profiles but they are needed by C-CDA on FHIR. Please restore them. 
o DAF-RelatedPerson
o DAF-Encounter
",Add profiles back that are required for C-CDA,,,,,FHIR Infrastructure,,,,,,,,,,,,,Kanwarpreet Sethi ,Lantana Consulting Group ,Rick Geimer ,rick.geimer@lantanagroup.com ,,,,
108,Data Access Framework (DAF),,All,,,,,(profiles),,NEG,Correction,,,,,"Many of the profiles reference un-profiled resources when DAF resources exist for those profiles. Examples include DAF-Condition (asserter, etc.) DAF-core-careplan (addresses, etc.). View in snapshot mode to see more examples.  Should reference DAF-Patient, DAF-Condition, etc. wherever a DAF resource exists. Please fix this globally. ",Confirm DAF reference DAF constrained profiles.,,,,,FHIR Infrastructure,,,,,,,,,,,,,Kanwarpreet Sethi ,Lantana Consulting Group ,Rick Geimer ,rick.geimer@lantanagroup.com ,,,,
109,Data Access Framework (DAF),,D.4.1,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-condition.html,NEG,Enhancement,,,[Condition.code value set],,"If at all possible, I would like to see ICD supported here.  ICD is in really heavy use in the US, and there aren't perfect mappings to SNOMED CT.",Support ICD,Yes,,,,FHIR Infrastructure,,,,,,,,,,,,,"Kensaku Kawamoto, MD, PhD, MHS ",,Kensaku Kawamoto ,,,,,
110,Data Access Framework (DAF),,D4.1,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-condition.html,NEG,Enhancement,,,,,Please clarify where encounter diagnoses are covered (or not).  I think this needs to be explicitly stated.  Sorry if I missed this.,Add supprot for encounter diagnoses,Yes,,,,FHIR Infrastructure,,,,,,,,,,,,,"Kensaku Kawamoto, MD, PhD, MHS ",,Kensaku Kawamoto ,,,,,
