"start","tracker_item_id","change_date","field_name","old_value","new_value"
"===",3073,"2014-10-15 04:10:46.889321+00","htmlpage","managing","managing"
"===",3073,"2014-10-15 04:10:46.889321+00","status_id","1","0"
"===",3073,"2014-10-15 10:41:50.93492+00","htmlpage","managing","managing"
"===",3073,"2014-10-15 10:41:50.93492+00","backwardcompatible45","None","Yes"
"===",3073,"2014-10-15 10:41:50.93492+00","reviewingworkgroup67","FHIR Core Team","FHIR Core Team"
"===",3074,"2014-03-18 13:19:44.455096+00","_created_","","Example uses history instead of _history"
"===",3074,"2014-05-04 05:09:42.81926+00","reviewingworkgroups","None","FHIR Core Team"
"===",3074,"2014-05-05 05:18:18.952467+00","resources16","None","Composition"
"===",3074,"2014-05-05 05:18:18.952467+00","reviewingworkgroup68","FHIR Core Team","FHIR Core Team"
"===",3074,"2014-05-06 05:12:40.121+00","status","Submitted","Approved"
"===",3074,"2014-05-06 05:12:40.121+00","reviewingworkgroup68","FHIR Core Team","FHIR Core Team"
"===",3074,"2014-05-06 05:12:40.121+00","resources","Composition","Composition"
"===",3074,"2014-10-15 04:13:50.580225+00","Waiting For","Assignee(s)","None"
"===",3074,"2014-10-15 04:13:50.580225+00","close_date","","2014-10-15 15:13:50"
"===",3074,"2014-10-15 04:13:50.580225+00","status","Approved","Applied"
"===",3074,"2014-10-15 04:13:50.580225+00","reviewingworkgroup67","FHIR Core Team","FHIR Core Team"
"===",3074,"2014-10-15 04:13:50.580225+00","resources","Composition","Composition"
"===",3074,"2014-10-15 04:13:50.580225+00","status_id","1","0"
"===",3074,"2014-10-15 10:41:59.253337+00","reviewingworkgroup67","FHIR Core Team","FHIR Core Team"
"===",3074,"2014-10-15 10:41:59.253337+00","backwardcompatible45","None","Yes"
"===",3074,"2014-10-15 10:41:59.253337+00","resources","Composition","Composition"
"===",3075,"2014-03-18 16:40:08.494579+00","_created_","","Expose the code system URI in value set narrative"
"===",3075,"2014-05-05 03:36:26.424715+00","reviewingworkgroup68","None","FHIR Tooling/Pubs"
"===",3075,"2014-05-05 07:22:12.341227+00","reviewingworkgroup68","FHIR Tooling/Pubs","FHIR Tooling/Pubs"
"===",3075,"2014-05-05 07:22:12.341227+00","htmlpage19","None","(many)"
"===",3075,"2014-05-06 05:18:15.165006+00","reviewingworkgroup68","FHIR Tooling/Pubs","FHIR Tooling/Pubs"
"===",3075,"2014-05-06 05:18:15.165006+00","status","Submitted","Reviewed"
"===",3075,"2014-05-06 05:18:15.165006+00","htmlpage","(many)","(many)"
"===",3075,"2014-10-15 21:39:44.700656+00","Waiting For","Assignee(s)","None"
"===",3075,"2014-10-15 21:39:44.700656+00","close_date","","2014-10-16 08:39:44"
"===",3075,"2014-10-15 21:39:44.700656+00","status","Triaged","Applied"
"===",3075,"2014-10-15 21:39:44.700656+00","backwardcompatible45","None","Yes"
"===",3075,"2014-10-15 21:39:44.700656+00","htmlpage","(many)","(many)"
"===",3075,"2014-10-15 21:39:44.700656+00","status_id","1","0"
"===",3075,"2014-10-15 21:39:44.700656+00","reviewingworkgroup67","FHIR Tooling/Pubs","FHIR Tooling/Pubs"
"===",3076,"2014-03-19 03:48:46.181995+00","_created_","","Need guidance on ""planned"" encounters"
"===",3076,"2014-05-04 04:57:39.981462+00","Waiting For","Assignee(s)","None"
"===",3076,"2014-05-04 04:57:39.981462+00","assignee","None","Alexander Henket"
"===",3076,"2014-05-04 04:57:39.981462+00","assignee","Nobody ","Removed"
"===",3076,"2014-05-04 04:57:39.981462+00","category","Correction","Enhancement"
"===",3076,"2014-05-04 04:57:39.981462+00","reviewingworkgroups","None","Patient Administration"
"===",3076,"2014-05-05 05:55:35.89751+00","resources","None","Encounter"
"===",3076,"2014-05-05 05:55:35.89751+00","reviewingworkgroup68","Patient Administration","Patient Administration"
"===",3076,"2014-05-06 05:18:15.165006+00","status","Submitted","Reviewed"
"===",3076,"2014-05-06 05:18:15.165006+00","reviewingworkgroup68","Patient Administration","Patient Administration"
"===",3076,"2014-05-06 05:18:15.165006+00","resources","Encounter","Encounter"
"===",3076,"2014-07-31 19:55:41.834553+00","status","Triaged","Waiting for Input"
"===",3076,"2014-07-31 19:55:41.834553+00","reviewingworkgroup68","Patient Administration","Patient Administration"
"===",3076,"2014-07-31 19:55:41.834553+00","resources64","Encounter","Encounter"
"===",3076,"2014-08-14 19:40:46.842304+00","reviewingworkgroup68","Patient Administration","Patient Administration"
"===",3076,"2014-08-14 19:40:46.842304+00","resources64","Encounter","Encounter"
"===",3076,"2014-12-07 12:27:01.964136+00","status","Waiting for Input","Approved"
"===",3076,"2014-12-08 21:43:04.382723+00","close_date","None","2014-12-09 08:43:04"
"===",3076,"2014-12-08 21:43:04.382723+00","status_id","1","0"
"===",3076,"2014-12-08 21:43:04.382723+00","status","Approved","Applied"
"===",3076,"2015-02-02 13:27:54.792782+00","assignee","Alexander Henket","Removed"
"===",3076,"2015-02-02 13:27:54.792782+00","assignee","None","Lloyd McKenzie"
"===",3076,"2015-02-02 15:55:50.221934+00","assignee","None","Nobody "
"===",3076,"2015-02-02 15:55:50.221934+00","assignee","Lloyd McKenzie","Removed"
"===",3077,"2014-03-19 03:53:02.78585+00","_created_","","CarePlan detail shouldn't reference Encounter or Procedure"
"===",3077,"2014-03-19 06:09:52.628066+00","Waiting For","Assignee(s)","None"
"===",3077,"2014-05-04 04:59:12.209754+00","reviewingworkgroups","None","Patient Care"
"===",3077,"2014-05-05 05:57:58.968721+00","resources","None","CarePlan"
"===",3077,"2014-05-05 05:57:58.968721+00","reviewingworkgroup68","Patient Care","Patient Care"
"===",3077,"2014-05-06 05:18:15.165006+00","status","Submitted","Reviewed"
"===",3077,"2014-05-06 05:18:15.165006+00","reviewingworkgroup68","Patient Care","Patient Care"
"===",3077,"2014-05-06 05:18:15.165006+00","resources","CarePlan","CarePlan"
"===",3077,"2014-11-13 23:07:48.897934+00","status","Triaged","Approved"
"===",3077,"2015-01-12 04:53:37.841802+00","forwgmreviewby62","None","PC"
"===",3079,"2014-03-20 05:16:46.937386+00","_created_","","Some resources use ""patient,"" others use ""subject"" -- it's confusing and sometimes arbitrary"
"===",3079,"2014-03-20 05:19:18.922429+00","Waiting For","Assignee(s)","None"
"===",3079,"2014-05-04 04:25:36.647584+00","reviewingworkgroups","None","FHIR Core Team"
"===",3079,"2014-05-05 07:22:12.341227+00","reviewingworkgroup68","FHIR Core Team","FHIR Core Team"
"===",3079,"2014-05-05 07:22:12.341227+00","htmlpage19","None","(many)"
"===",3079,"2014-05-06 05:18:15.165006+00","status","Submitted","Reviewed"
"===",3079,"2014-05-06 05:18:15.165006+00","reviewingworkgroup68","FHIR Core Team","FHIR Core Team"
"===",3079,"2014-05-06 05:18:15.165006+00","htmlpage","(many)","(many)"
"===",3079,"2014-05-06 19:16:45.07164+00","status","Triaged","Approved"
"===",3079,"2014-05-06 19:16:45.07164+00","reviewingworkgroup68","FHIR Core Team","FHIR Tooling/Pubs,Modeling &amp; Methodology"
"===",3079,"2014-05-06 19:16:45.07164+00","htmlpage","(many)","(many)"
"===",3079,"2014-10-29 20:30:46.481092+00","backwardcompatible45","None","Yes"
"===",3079,"2014-10-30 01:31:23.02785+00","status","Approved","Applied"
"===",3079,"2014-10-30 01:31:23.02785+00","close_date","None","2014-10-30 12:31:23"
"===",3079,"2014-10-30 01:31:23.02785+00","status_id","1","0"
"===",3084,"2014-03-23 01:17:27.823125+00","_created_","","Add a search parameter ""language"" for all resource types"
"===",3084,"2014-05-04 05:14:28.024713+00","reviewingworkgroups","None","FHIR Core Team"
"===",3084,"2014-05-05 07:22:12.341227+00","reviewingworkgroup68","FHIR Core Team","FHIR Core Team"
"===",3084,"2014-05-05 07:22:12.341227+00","htmlpage19","None","(many)"
"===",3084,"2014-05-06 05:18:15.165006+00","status","Submitted","Reviewed"
"===",3084,"2014-05-06 05:18:15.165006+00","reviewingworkgroup68","FHIR Core Team","FHIR Core Team"
"===",3084,"2014-05-06 05:18:15.165006+00","htmlpage","(many)","(many)"
"===",3084,"2014-05-09 18:52:23.941861+00","Waiting For","Assignee(s)","None"
"===",3084,"2014-05-09 18:52:23.941861+00","status","Triaged","Approved"
"===",3084,"2014-05-09 18:52:23.941861+00","reviewingworkgroup68","FHIR Core Team","FHIR Core Team"
"===",3084,"2014-05-09 18:52:23.941861+00","htmlpage","(many)","(many)"
"===",3084,"2014-10-15 04:15:01.334127+00","close_date","","2014-10-15 15:15:01"
"===",3084,"2014-10-15 04:15:01.334127+00","status","Approved","Applied"
"===",3084,"2014-10-15 04:15:01.334127+00","reviewingworkgroup67","FHIR Core Team","FHIR Core Team"
"===",3084,"2014-10-15 04:15:01.334127+00","htmlpage","(many)","(many)"
"===",3084,"2014-10-15 04:15:01.334127+00","status_id","1","0"
"===",3084,"2014-10-15 10:42:04.284096+00","backwardcompatible45","None","Yes"
"===",3084,"2014-10-15 10:42:04.284096+00","reviewingworkgroup67","FHIR Core Team","FHIR Core Team"
"===",3084,"2014-10-15 10:42:04.284096+00","htmlpage","(many)","(many)"
"===",3086,"2014-03-24 17:09:18.746818+00","_created_","","Outdated example for provenance entity references"
"===",3086,"2014-03-24 19:24:40.885526+00","Waiting For","Assignee(s)","None"
"===",3086,"2014-05-04 04:21:32.578441+00","reviewingworkgroups","None","FHIR Core Team"
"===",3086,"2014-05-05 05:17:57.757846+00","resources16","None","Provenance"
"===",3086,"2014-05-05 05:17:57.757846+00","reviewingworkgroup68","FHIR Core Team","FHIR Core Team"
"===",3086,"2014-05-06 05:18:15.165006+00","status","Submitted","Reviewed"
"===",3086,"2014-05-06 05:18:15.165006+00","reviewingworkgroup68","FHIR Core Team","FHIR Core Team"
"===",3086,"2014-05-06 05:18:15.165006+00","resources","Provenance","Provenance"
"===",3086,"2014-05-06 19:06:48.070911+00","status","Triaged","Approved"
"===",3086,"2014-05-06 19:06:48.070911+00","reviewingworkgroup68","FHIR Core Team","FHIR Tooling/Pubs,FHIR Core Team"
"===",3086,"2014-05-06 19:06:48.070911+00","resources","Provenance","Provenance"
"===",3086,"2014-10-15 04:18:17.013345+00","close_date","","2014-10-15 15:18:17"
"===",3086,"2014-10-15 04:18:17.013345+00","status","Approved","Applied"
"===",3086,"2014-10-15 04:18:17.013345+00","reviewingworkgroup67","FHIR Core Team,FHIR Tooling/Pubs","FHIR Core Team,FHIR Tooling/Pubs"
"===",3086,"2014-10-15 04:18:17.013345+00","resources","Provenance","Provenance"
"===",3086,"2014-10-15 04:18:17.013345+00","status_id","1","0"
"===",3086,"2014-10-15 10:42:12.095942+00","backwardcompatible45","None","Yes"
"===",3086,"2014-10-15 10:42:12.095942+00","reviewingworkgroup67","FHIR Core Team,FHIR Tooling/Pubs","FHIR Core Team,FHIR Tooling/Pubs"
"===",3086,"2014-10-15 10:42:12.095942+00","resources","Provenance","Provenance"
"===",3087,"2014-03-24 21:54:18.901773+00","_created_","","Should describe links from narrative to content"
"===",3087,"2014-05-05 03:35:56.45493+00","Waiting For","Assignee(s)","None"
"===",3087,"2014-05-05 03:35:56.45493+00","reviewingworkgroup68","None","FHIR Core Team"
"===",3087,"2014-05-05 07:20:05.497655+00","reviewingworkgroup68","FHIR Core Team","FHIR Core Team"
"===",3087,"2014-05-05 07:20:05.497655+00","htmlpage","None","narrative"
"===",3087,"2014-05-06 05:18:15.165006+00","status","Submitted","Reviewed"
"===",3087,"2014-05-06 05:18:15.165006+00","reviewingworkgroup68","FHIR Core Team","FHIR Core Team"
"===",3087,"2014-05-06 05:18:15.165006+00","htmlpage","narrative","narrative"
"===",3087,"2014-05-09 18:54:23.440583+00","status","Triaged","Approved"
"===",3087,"2014-05-09 18:54:23.440583+00","reviewingworkgroup68","FHIR Core Team","FHIR Core Team"
"===",3087,"2014-05-09 18:54:23.440583+00","htmlpage","narrative","narrative"
"===",3087,"2014-10-29 12:59:58.28319+00","backwardcompatible45","None","Yes"
"===",3087,"2014-10-29 12:59:58.28319+00","close_date","None","2014-10-29 23:59:58"
"===",3087,"2014-10-29 12:59:58.28319+00","status","Approved","Applied"
"===",3087,"2014-10-29 12:59:58.28319+00","status_id","1","0"
"===",3088,"2014-03-24 23:47:10.021877+00","_created_","","Definition of id data type"
"===",3088,"2014-05-05 03:35:30.429747+00","Waiting For","Assignee(s)","None"
"===",3088,"2014-05-05 03:35:30.429747+00","reviewingworkgroup68","None","Modeling &amp; Methodology"
"===",3088,"2014-05-05 05:51:18.048948+00","resources","None","Data Type"
"===",3088,"2014-05-05 05:51:18.048948+00","reviewingworkgroup68","Modeling &amp; Methodology","Modeling &amp; Methodology"
"===",3088,"2014-05-05 07:10:59.22731+00","reviewingworkgroup68","Modeling &amp; Methodology","Modeling &amp; Methodology"
"===",3088,"2014-05-05 07:10:59.22731+00","resources","Data Type","Data Type"
"===",3088,"2014-05-05 07:10:59.22731+00","htmlpage","None","datatypes"
"===",3088,"2014-05-05 07:11:21.570758+00","reviewingworkgroup68","Modeling &amp; Methodology","Modeling &amp; Methodology"
"===",3088,"2014-05-05 07:11:21.570758+00","htmlpage","datatypes","datatypes"
"===",3088,"2014-05-05 15:56:01.403423+00","reviewingworkgroup68","Modeling &amp; Methodology","Modeling &amp; Methodology"
"===",3088,"2014-05-05 15:56:01.403423+00","htmlpage","datatypes","datatypes"
"===",3088,"2014-05-06 05:18:15.165006+00","status","Submitted","Reviewed"
"===",3088,"2014-05-06 05:18:15.165006+00","reviewingworkgroup68","Modeling &amp; Methodology","Modeling &amp; Methodology"
"===",3088,"2014-05-06 05:18:15.165006+00","htmlpage","datatypes","datatypes"
"===",3088,"2014-05-08 16:43:50.012355+00","status","Triaged","Approved"
"===",3088,"2014-05-08 16:43:50.012355+00","reviewingworkgroup68","Modeling &amp; Methodology","Modeling &amp; Methodology"
"===",3088,"2014-05-08 16:43:50.012355+00","htmlpage","datatypes","datatypes"
"===",3088,"2014-10-14 21:53:49.302931+00","close_date","","2014-10-15 08:53:49"
"===",3088,"2014-10-14 21:53:49.302931+00","status","Approved","Applied"
"===",3088,"2014-10-14 21:53:49.302931+00","reviewingworkgroup67","Modeling &amp; Methodology","Modeling &amp; Methodology"
"===",3088,"2014-10-14 21:53:49.302931+00","htmlpage","datatypes","datatypes"
"===",3088,"2014-10-14 21:53:49.302931+00","status_id","1","0"
"===",3088,"2014-10-15 10:42:18.684211+00","backwardcompatible45","None","Yes"
"===",3088,"2014-10-15 10:42:18.684211+00","reviewingworkgroup67","Modeling &amp; Methodology","Modeling &amp; Methodology"
"===",3088,"2014-10-15 10:42:18.684211+00","htmlpage","datatypes","datatypes"
"===",3089,"2014-03-25 12:22:59.743776+00","_created_","","Composite Search Param And/Or wording distinction"
"===",3089,"2014-04-25 03:52:51.927562+00","Waiting For","Assignee(s)","None"
"===",3089,"2014-05-05 03:33:59.841708+00","reviewingworkgroup68","None","ITS"
"===",3089,"2014-05-05 05:49:39.629276+00","pagenamefromurl","","search"
"===",3089,"2014-05-05 05:49:39.629276+00","reviewingworkgroup68","ITS","ITS"
"===",3089,"2014-05-05 07:26:00.239483+00","reviewingworkgroup68","ITS","ITS"
"===",3089,"2014-05-05 07:26:00.239483+00","htmlpage19","None","search"
"===",3089,"2014-05-06 05:18:15.165006+00","status","Submitted","Reviewed"
"===",3089,"2014-05-06 05:18:15.165006+00","reviewingworkgroup68","ITS","ITS"
"===",3089,"2014-05-06 05:18:15.165006+00","htmlpage","search","search"
"===",3089,"2014-09-18 15:11:34.453862+00","reviewingworkgroup68","ITS","ITS"
"===",3089,"2014-09-18 15:11:34.453862+00","htmlpage","search","search"
"===",3089,"2014-10-15 21:37:39.705194+00","close_date","","2014-10-16 08:37:39"
"===",3089,"2014-10-15 21:37:39.705194+00","status","Triaged","Applied"
"===",3089,"2014-10-15 21:37:39.705194+00","htmlpage","search","search"
"===",3089,"2014-10-15 21:37:39.705194+00","reviewingworkgroup67","ITS","ITS"
"===",3089,"2014-10-15 21:37:39.705194+00","status_id","1","0"
"===",3089,"2014-10-15 21:37:39.705194+00","backwardcompatible45","None","Yes"
"===",3090,"2014-03-25 12:34:23.88585+00","_created_","","Conformance SearchParams should be more powerful"
"===",3090,"2014-05-05 03:28:33.238586+00","reviewingworkgroup68","None","ITS,FHIR Core Team"
"===",3090,"2014-05-05 05:37:34.774035+00","pagenamefromurl","","search"
"===",3090,"2014-05-05 05:37:34.774035+00","reviewingworkgroup68","ITS,FHIR Core Team","ITS,FHIR Core Team"
"===",3090,"2014-05-05 07:14:50.337802+00","reviewingworkgroup68","ITS,FHIR Core Team","ITS,FHIR Core Team"
"===",3090,"2014-05-05 07:14:50.337802+00","htmlpage","None","search"
"===",3090,"2014-05-06 05:18:15.165006+00","status","Submitted","Reviewed"
"===",3090,"2014-05-06 05:18:15.165006+00","reviewingworkgroup68","ITS,FHIR Core Team","ITS,FHIR Core Team"
"===",3090,"2014-05-06 05:18:15.165006+00","htmlpage","search","search"
"===",3090,"2014-10-01 23:15:11.906046+00","reviewingworkgroup67","ITS,FHIR Core Team","Modeling &amp; Methodology"
"===",3090,"2014-10-01 23:15:11.906046+00","htmlpage","search","search"
"===",3090,"2014-10-02 03:07:52.190135+00","reviewingworkgroup67","Modeling &amp; Methodology","ITS"
"===",3090,"2014-10-02 03:07:52.190135+00","htmlpage","search","search"
"===",3090,"2015-01-12 04:55:02.621979+00","forwgmreviewby62","None","ITS"
"===",3090,"2015-01-21 19:51:14.336596+00","status","Triaged","Waiting for Input"
"===",3090,"2015-01-30 20:41:11.296512+00","assignee","None","James Agnew"
"===",3090,"2015-01-30 20:41:11.296512+00","assignee","Nobody ","Removed"
"===",3090,"2015-01-30 20:41:11.296512+00","assignee","None","Grahame Grieve"
"===",3091,"2014-03-25 15:42:17.596507+00","_created_","","Add extension for FamilyHistory.relation to point to Patient"
"===",3091,"2014-05-05 03:30:58.451843+00","reviewingworkgroup68","None","Patient Care"
"===",3091,"2014-05-05 05:58:41.346987+00","Waiting For","Assignee(s)","None"
"===",3091,"2014-05-05 05:58:41.346987+00","resources","None","FamilyHistory"
"===",3091,"2014-05-05 05:58:41.346987+00","reviewingworkgroup68","Patient Care","Patient Care,Clinical Genomics"
"===",3091,"2014-05-06 05:18:15.165006+00","status","Submitted","Reviewed"
"===",3091,"2014-05-06 05:18:15.165006+00","reviewingworkgroup68","Patient Care,Clinical Genomics","Patient Care,Clinical Genomics"
"===",3091,"2014-05-06 05:18:15.165006+00","resources","FamilyHistory","FamilyHistory"
"===",3091,"2014-05-20 17:11:51.664016+00","reviewingworkgroup68","Patient Care,Clinical Genomics","Patient Care,Clinical Genomics"
"===",3091,"2014-05-20 17:11:51.664016+00","resources64","FamilyHistory","FamilyHistory"
"===",3091,"2014-11-13 21:30:09.373576+00","status","Triaged","Approved"
"===",3092,"2014-03-25 18:05:48.092271+00","_created_","","Observation.performer should allow Patient"
"===",3092,"2014-05-05 03:25:58.983114+00","resourcename78","","Observation"
"===",3092,"2014-05-05 03:25:58.983114+00","Waiting For","Assignee(s)","None"
"===",3092,"2014-05-05 03:30:25.709494+00","reviewingworkgroup68","None","Orders &amp; Observations"
"===",3092,"2014-05-05 05:53:12.752592+00","reviewingworkgroup68","Orders &amp; Observations","Orders &amp; Observations"
"===",3092,"2014-05-05 05:53:12.752592+00","resources","None","Observation"
"===",3092,"2014-05-06 05:18:15.165006+00","status","Submitted","Reviewed"
"===",3092,"2014-05-06 05:18:15.165006+00","reviewingworkgroup68","Orders &amp; Observations","Orders &amp; Observations"
"===",3092,"2014-05-06 05:18:15.165006+00","resources","Observation","Observation"
"===",3092,"2014-06-11 05:23:02.232551+00","reviewingworkgroup68","Orders &amp; Observations","Orders &amp; Observations"
"===",3092,"2014-06-11 05:23:02.232551+00","resources64","Observation","Observation"
"===",3092,"2014-06-12 16:03:35.18877+00","assignee","None","Eric Haas"
"===",3092,"2014-06-12 16:03:35.18877+00","assignee","Nobody ","Removed"
"===",3092,"2014-06-12 16:03:35.18877+00","status","Triaged","Approved"
"===",3092,"2014-06-12 16:03:35.18877+00","reviewingworkgroup68","Orders &amp; Observations","Orders &amp; Observations"
"===",3092,"2014-06-12 16:03:35.18877+00","resources64","Observation","Observation"
"===",3092,"2014-06-12 16:04:43.22443+00","status","Approved","Applied"
"===",3092,"2014-06-12 16:04:43.22443+00","reviewingworkgroup68","Orders &amp; Observations","Orders &amp; Observations"
"===",3092,"2014-06-12 16:04:43.22443+00","resources64","Observation","Observation"
"===",3092,"2014-06-12 18:11:28.485189+00","reviewingworkgroup68","Orders &amp; Observations","Orders &amp; Observations"
"===",3092,"2014-06-12 18:11:28.485189+00","resources64","Observation","Observation"
"===",3092,"2014-06-12 18:11:28.485189+00","duplicate","None","should observation.perfomer also allow Patient"
"===",3092,"2014-06-12 18:11:28.485189+00","reviewingworkgroup68","Orders &amp; Observations","Orders &amp; Observations"
"===",3092,"2014-06-12 18:11:28.485189+00","resources64","Observation","Observation"
"===",3092,"2014-06-12 18:11:28.485189+00","duplicate","None","should observation.perfomer also allow Patient"
"===",3092,"2014-10-15 10:42:33.712832+00","close_date","","2014-10-15 21:42:33"
"===",3092,"2014-10-15 10:42:33.712832+00","reviewingworkgroup67","Orders &amp; Observations","Orders &amp; Observations"
"===",3092,"2014-10-15 10:42:33.712832+00","resources","Observation","Observation"
"===",3092,"2014-10-15 10:42:33.712832+00","status_id","1","0"
"===",3092,"2014-10-15 10:42:33.712832+00","backwardcompatible45","None","Yes"
"===",3093,"2014-03-25 19:12:58.885488+00","_created_","","Conformance documentation needs updating"
"===",3093,"2014-05-04 05:09:25.91426+00","Waiting For","Assignee(s)","None"
"===",3093,"2014-05-04 05:09:25.91426+00","assignee","None","Ewout Kramer"
"===",3093,"2014-05-04 05:09:25.91426+00","pagenamefromurl","http://hl7.org/implement/standards/fhir/",""
"===",3093,"2014-05-04 05:09:25.91426+00","reviewingworkgroups","None","CGIT"
"===",3093,"2014-05-04 05:09:25.91426+00","assignee","Nobody ","Removed"
"===",3093,"2014-05-05 05:47:18.551707+00","resources","None","Profile"
"===",3093,"2014-05-05 05:47:18.551707+00","reviewingworkgroup68","CGIT","CGIT"
"===",3093,"2014-05-06 05:12:11.043555+00","reviewingworkgroup68","CGIT","CGIT"
"===",3093,"2014-05-06 05:12:11.043555+00","status","Submitted","Approved"
"===",3093,"2014-05-06 05:12:11.043555+00","resources","Profile","Profile"
"===",3093,"2014-10-13 04:25:58.529985+00","close_date","","2014-10-13 15:25:58"
"===",3093,"2014-10-13 04:25:58.529985+00","status","Approved","Applied"
"===",3093,"2014-10-13 04:25:58.529985+00","reviewingworkgroup67","CGIT","CGIT"
"===",3093,"2014-10-13 04:25:58.529985+00","resources64","Profile","Profile"
"===",3093,"2014-10-13 04:25:58.529985+00","status_id","1","0"
"===",3093,"2014-10-15 10:43:10.3845+00","reviewingworkgroup67","CGIT","CGIT"
"===",3093,"2014-10-15 10:43:10.3845+00","resources","Profile","Profile"
"===",3093,"2014-10-15 10:43:10.3845+00","backwardcompatible45","None","Yes"
"===",3094,"2014-03-25 20:49:13.478297+00","_created_","","Conformance and Profile need to be able to make Query declarations in the context of resources"
"===",3094,"2014-05-05 03:27:56.637697+00","reviewingworkgroup68","None","CGIT,FHIR Core Team"
"===",3094,"2014-05-05 03:27:56.637697+00","Waiting For","Assignee(s)","None"
"===",3094,"2014-05-05 05:35:30.514152+00","resources","None","Profile,Conformance"
"===",3094,"2014-05-05 05:35:30.514152+00","reviewingworkgroup68","CGIT,FHIR Core Team","CGIT,FHIR Core Team"
"===",3094,"2014-05-06 05:18:15.165006+00","status","Submitted","Reviewed"
"===",3094,"2014-05-06 05:18:15.165006+00","reviewingworkgroup68","CGIT,FHIR Core Team","CGIT,FHIR Core Team"
"===",3094,"2014-05-06 05:18:15.165006+00","resources","Profile,Conformance","Profile,Conformance"
"===",3094,"2014-05-07 08:18:00.806954+00","reviewingworkgroup68","CGIT,FHIR Core Team","Templates,CGIT,FHIR Core Team"
"===",3094,"2014-05-07 08:18:00.806954+00","resources","Profile,Conformance","Profile,Conformance"
"===",3094,"2014-09-15 19:29:35.876146+00","close_date","","2014-09-15 13:29:35"
"===",3094,"2014-09-15 19:29:35.876146+00","status","Triaged","Rejected"
"===",3094,"2014-09-15 19:29:35.876146+00","reviewingworkgroup68","Templates,CGIT,FHIR Core Team","Templates,CGIT,FHIR Core Team"
"===",3094,"2014-09-15 19:29:35.876146+00","resources64","Profile,Conformance","Profile,Conformance"
"===",3094,"2014-09-15 19:29:35.876146+00","status_id","1","0"
"===",3095,"2014-03-25 20:58:31.746927+00","_created_","","Add an identifier to List.item"
"===",3095,"2014-03-25 21:00:24.475999+00","Waiting For","Assignee(s)","None"
"===",3095,"2014-05-05 03:24:47.805239+00","reviewingworkgroup68","None","FHIR Core Team"
"===",3095,"2014-05-05 05:17:33.329965+00","resources16","None","List"
"===",3095,"2014-05-05 05:17:33.329965+00","reviewingworkgroup68","FHIR Core Team","FHIR Core Team"
"===",3095,"2014-05-06 05:17:46.921894+00","status","Submitted","Reviewed"
"===",3095,"2014-05-06 05:17:46.921894+00","reviewingworkgroup68","FHIR Core Team","FHIR Core Team"
"===",3095,"2014-05-06 05:17:46.921894+00","resources","List","List"
"===",3095,"2014-09-15 19:36:33.811967+00","status","Triaged","Waiting for Input"
"===",3095,"2014-09-15 19:36:33.811967+00","reviewingworkgroup68","FHIR Core Team","FHIR Core Team"
"===",3095,"2014-09-15 19:36:33.811967+00","resources64","List","List"
"===",3095,"2015-01-12 05:04:02.128488+00","status","Waiting for Input","Rejected"
"===",3095,"2015-01-12 05:04:02.128488+00","close_date","None","2015-01-12 16:04:04"
"===",3095,"2015-01-12 05:04:02.128488+00","status_id","1","0"
"===",3096,"2014-03-25 21:06:00.01161+00","_created_","","Allow for simple text in the reference range of an observation"
"===",3096,"2014-05-05 03:30:25.709494+00","reviewingworkgroup68","None","Orders &amp; Observations"
"===",3096,"2014-05-05 05:53:12.752592+00","resources","None","Observation"
"===",3096,"2014-05-05 05:53:12.752592+00","reviewingworkgroup68","Orders &amp; Observations","Orders &amp; Observations"
"===",3096,"2014-05-06 05:17:46.921894+00","status","Submitted","Reviewed"
"===",3096,"2014-05-06 05:17:46.921894+00","reviewingworkgroup68","Orders &amp; Observations","Orders &amp; Observations"
"===",3096,"2014-05-06 05:17:46.921894+00","resources","Observation","Observation"
"===",3096,"2014-06-12 16:06:27.75115+00","Waiting For","Assignee(s)","None"
"===",3096,"2014-06-12 16:06:27.75115+00","reviewingworkgroup68","Orders &amp; Observations","Orders &amp; Observations"
"===",3096,"2014-06-12 16:06:27.75115+00","resources64","Observation","Observation"
"===",3096,"2014-06-12 16:07:00.959981+00","status","Triaged","Approved"
"===",3096,"2014-06-12 16:07:00.959981+00","reviewingworkgroup68","Orders &amp; Observations","Orders &amp; Observations"
"===",3096,"2014-06-12 16:07:00.959981+00","resources64","Observation","Observation"
"===",3096,"2014-06-26 18:41:20.752971+00","assignee","None","Eric Haas"
"===",3096,"2014-06-26 18:41:20.752971+00","assignee","Nobody ","Removed"
"===",3096,"2014-06-26 18:41:20.752971+00","reviewingworkgroup68","Orders &amp; Observations","Orders &amp; Observations"
"===",3096,"2014-06-26 18:41:20.752971+00","resources64","Observation","Observation"
"===",3096,"2014-06-26 21:16:53.524439+00","status","Approved","Applied"
"===",3096,"2014-06-26 21:16:53.524439+00","reviewingworkgroup68","Orders &amp; Observations","Orders &amp; Observations"
"===",3096,"2014-06-26 21:16:53.524439+00","resources64","Observation","Observation"
"===",3096,"2014-10-15 10:43:22.284469+00","close_date","","2014-10-15 21:43:22"
"===",3096,"2014-10-15 10:43:22.284469+00","backwardcompatible45","None","Yes"
"===",3096,"2014-10-15 10:43:22.284469+00","reviewingworkgroup67","Orders &amp; Observations","Orders &amp; Observations"
